Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,14277786,0,0,0,0.000,0.000,0.000,0.000,52.6,600,600,0
10,14209928,0,0,0,0.000,0.000,0.000,0.000,52.1,600,600,0
20,14083824,0,0,0,0.000,0.000,0.000,0.000,52.1,600,598,0
30,14244014,0,0,0,0.000,0.000,0.000,0.000,51.1,600,601,0
40,13979156,0,0,0,0.000,0.000,0.000,0.000,51.1,600,594,0
50,14363958,0,0,0,0.000,0.000,0.000,0.000,51.1,600,602,0
60,14390072,0,0,0,0.000,0.000,0.000,0.000,51.1,600,602,0
70,13280720,0,0,0,0.000,0.000,0.000,0.000,51.1,600,579,0
80,14382576,0,0,0,0.000,0.000,0.000,0.000,51.6,600,602,0
90,14354168,0,0,0,0.000,0.000,0.000,0.000,51.6,600,602,0
100,14312886,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
110,14377670,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
120,14394416,0,0,0,0.000,0.000,0.000,0.000,52.6,600,603,0
130,14380842,0,0,0,0.000,0.000,0.000,0.000,52.6,600,602,0
140,14371742,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
150,14395476,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
160,14381852,0,0,0,0.000,0.000,0.000,0.000,51.6,600,602,0
170,14393468,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
180,14373462,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
190,14394200,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
200,14382174,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
210,14393384,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
220,14355896,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
230,20111890,0,0,0,0.000,0.000,0.000,0.000,52.1,600,842,0
240,14393078,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
250,14378286,0,0,0,0.000,0.000,0.000,0.000,50.6,600,602,0
260,14393000,0,0,0,0.000,0.000,0.000,0.000,50.6,600,603,0
270,14376980,0,0,0,0.000,0.000,0.000,0.000,51.6,600,602,0
280,14379198,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
290,14099432,0,0,0,0.000,0.000,0.000,0.000,51.6,600,593,0
300,14252798,0,0,0,0.000,0.000,0.000,0.000,51.6,600,597,0
310,13757034,0,0,0,0.000,0.000,0.000,0.000,52.6,600,581,0
320,11631836,0,0,0,0.000,0.000,0.000,0.000,52.6,600,509,0
330,14328770,0,0,0,0.000,0.000,0.000,0.000,51.6,600,601,0
340,14171906,0,0,0,0.000,0.000,0.000,0.000,51.6,600,597,0
350,13553010,0,0,0,0.000,0.000,0.000,0.000,51.6,600,575,0
360,11424794,0,0,0,0.000,0.000,0.000,0.000,51.6,600,501,0
370,13743506,0,0,0,0.000,0.000,0.000,0.000,51.1,600,586,0
380,14199548,0,0,0,0.000,0.000,0.000,0.000,51.1,600,597,0
390,14383446,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
400,11174398,0,0,0,0.000,0.000,0.000,0.000,52.6,600,495,0
410,12383352,0,0,0,0.000,0.000,0.000,0.000,52.6,600,531,0
420,14389988,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
430,14380844,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
440,14355648,0,0,0,0.000,0.000,0.000,0.000,52.6,600,603,0
450,14378762,0,0,0,0.000,0.000,0.000,0.000,52.6,600,602,0
460,14379738,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
470,13922408,0,0,0,0.000,0.000,0.000,0.000,51.6,600,594,0
480,14394386,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
490,17601462,0,0,0,0.000,0.000,0.000,0.000,51.1,600,739,0
500,14334438,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
510,14379350,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
520,14396066,0,0,0,0.000,0.000,0.000,0.000,50.6,600,603,0
530,14379234,0,0,0,0.000,0.000,0.000,0.000,50.6,600,602,0
540,14392082,0,0,0,0.000,0.000,0.000,0.000,53.1,600,603,0
550,14379252,0,0,0,0.000,0.000,0.000,0.000,53.1,600,603,0
560,14393456,0,0,0,0.000,0.000,0.000,0.000,53.1,600,603,0
570,14378594,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
580,14381688,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
590,14398484,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
600,14382174,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
610,14396702,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
620,14379344,0,0,0,0.000,0.000,0.000,0.000,51.1,600,602,0
630,14395680,0,0,0,0.000,0.000,0.000,0.000,51.6,600,602,0
640,18518328,0,0,0,0.000,0.000,0.000,0.000,51.6,600,776,0
650,14395682,0,0,0,0.000,0.000,0.000,0.000,50.6,600,603,0
660,14377836,0,0,0,0.000,0.000,0.000,0.000,50.6,600,602,0
670,14393684,0,0,0,0.000,0.000,0.000,0.000,51.1,600,602,0
680,14299730,0,0,0,0.000,0.000,0.000,0.000,51.1,600,600,0
690,14389056,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
700,14362112,0,0,0,0.000,0.000,0.000,0.000,52.1,600,602,0
710,14394600,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
720,14381852,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
730,14396702,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
740,14392056,0,0,0,0.000,0.000,0.000,0.000,52.6,600,603,0
750,14266442,0,0,0,0.000,0.000,0.000,0.000,52.6,600,599,0
760,14395176,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
770,14379254,0,0,0,0.000,0.000,0.000,0.000,51.6,600,602,0
780,14395490,0,0,0,0.000,0.000,0.000,0.000,51.1,600,603,0
790,14377746,0,0,0,0.000,0.000,0.000,0.000,51.1,600,602,0
800,14396396,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
810,14382588,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
820,14382428,0,0,0,0.000,0.000,0.000,0.000,52.1,600,603,0
830,17177472,0,0,0,0.000,0.000,0.000,0.000,52.1,600,720,0
840,14391794,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
850,14375124,0,0,0,0.000,0.000,0.000,0.000,51.6,600,603,0
860,11327534,0,0,0,0.000,0.000,0.000,0.000,52.1,600,478,0
870,14012306,0,0,0,0.000,0.000,0.000,0.000,52.1,600,593,0
880,14385536,0,0,0,0.000,0.000,0.000,0.000,52.6,600,603,0
890,14371890,0,0,0,0.000,0.000,0.000,0.000,52.6,600,602,0
900,14391062,0,0,0,0.000,0.000,0.000,0.000,52.6,600,603,0
