Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,135425417,90283014,0,0,0.667,0.667,0.000,0.000,56.0,1800,2286,0
10,108319881,72215786,0,0,0.667,0.667,0.000,0.000,55.0,1800,1819,0
20,108428079,72286206,0,0,0.667,0.667,0.000,0.000,56.5,1800,1817,0
30,108696546,72464896,0,0,0.667,0.667,0.000,0.000,56.5,1800,1816,0
40,108611682,72408486,0,0,0.667,0.667,0.000,0.000,57.0,1800,1816,0
50,108760800,72507862,0,0,0.667,0.667,0.000,0.000,57.0,1800,1818,0
60,108616251,72411380,0,0,0.667,0.667,0.000,0.000,57.5,1800,1816,0
70,108740235,72494128,0,0,0.667,0.667,0.000,0.000,57.5,1800,1816,0
80,108043371,72029628,0,0,0.667,0.667,0.000,0.000,57.5,1800,1816,0
90,108528284,72344371,0,0,0.667,0.667,0.000,0.000,57.9,1800,1817,0
100,108584574,72390250,0,0,0.667,0.667,0.000,0.000,57.9,1800,1816,0
110,108589638,72393798,0,0,0.667,0.667,0.000,0.000,57.9,1800,1816,0
120,108750747,72501074,0,0,0.667,0.667,0.000,0.000,57.9,1800,1817,0
130,108699051,72466758,0,0,0.667,0.667,0.000,0.000,57.5,1800,1816,0
140,108735795,72490996,0,0,0.667,0.667,0.000,0.000,57.5,1800,1816,0
150,108699324,72466800,0,0,0.667,0.667,0.000,0.000,57.0,1800,1816,0
160,108732684,72489236,0,0,0.667,0.667,0.000,0.000,57.0,1800,1816,0
170,108707292,72472156,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
180,108730914,72487724,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
190,108358470,72239778,0,0,0.667,0.667,0.000,0.000,57.9,1800,1816,0
200,108720630,72480966,0,0,0.667,0.667,0.000,0.000,57.9,1800,1816,0
210,108694278,72463536,0,0,0.667,0.667,0.000,0.000,57.9,1800,1816,0
220,108599115,72400086,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
230,108698385,72466116,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
240,108415713,72277810,0,0,0.667,0.667,0.000,0.000,57.9,1800,1811,0
250,108739719,72493544,0,0,0.667,0.667,0.000,0.000,57.9,1800,1816,0
260,108706971,72471900,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
270,108739233,72493416,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
280,144403488,96269826,0,0,0.667,0.667,0.000,0.000,58.4,1800,2420,0
290,108569262,72380060,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
300,107409594,71607312,0,0,0.667,0.667,0.000,0.000,58.9,1800,1816,0
310,105266221,70174759,0,0,0.667,0.667,0.000,0.000,58.9,1800,1817,0
320,108673428,72449740,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
330,108569826,72380396,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
340,107089332,71393614,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
350,104762670,69842932,0,0,0.667,0.667,0.000,0.000,58.4,1800,1816,0
360,108678387,72452978,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
370,108548076,72366124,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
380,106604025,71070204,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
390,103926561,69285430,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
400,108704661,72470352,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
410,108704625,72470364,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
420,108737679,72492360,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
430,108410466,72274322,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
440,108651409,72434277,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
450,108648384,72432974,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
460,108585990,72391326,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
470,108680346,72454100,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
480,108731082,72488040,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
490,108527532,72352494,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
500,108737499,72492236,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
510,108711267,72474880,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
520,108743019,72495932,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
530,108762606,72508930,0,0,0.667,0.667,0.000,0.000,59.9,1800,1817,0
540,108703587,72469868,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
550,108702435,72469048,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
560,108677631,72452616,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
570,108737871,72492688,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
580,142244912,94822418,0,0,0.667,0.667,0.000,0.000,60.4,1800,2379,0
590,108644167,72429889,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
600,108687204,72458672,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
610,108742404,72495568,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
620,108705546,72471040,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
630,108735516,72490912,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
640,108702726,72469256,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
650,108736434,72491562,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
660,108697908,72465872,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
670,108739959,72493968,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
680,108702855,72469296,0,0,0.667,0.667,0.000,0.000,59.4,1800,1816,0
690,108746379,72498148,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
700,108692454,72462474,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
710,108510717,72341028,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
720,108736722,72491696,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
730,108701076,72467996,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
740,108653472,72436140,0,0,0.667,0.667,0.000,0.000,59.9,1800,1816,0
750,108695964,72464604,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
760,108714987,72477168,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
770,108688755,72459874,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
780,108741489,72494922,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
790,108718071,72479380,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
800,108740013,72493952,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
810,108704349,72470384,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
820,108729513,72491804,0,0,0.667,0.667,0.000,0.000,60.4,1800,1817,0
830,108737520,72492312,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
840,108700518,72467792,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
850,105514923,69985690,7496,0,0.663,0.663,0.000,0.000,60.9,1800,1820,0
860,123613868,82408172,3,0,0.667,0.667,0.000,0.000,60.4,1800,2066,0
870,108703035,72469288,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
880,108725199,72483840,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
890,108696252,72464792,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
900,108735936,72491244,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
910,108116834,72071038,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
920,108682410,72455536,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
930,108208188,72139390,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
940,108723228,72482712,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
950,108641838,72428486,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
960,108601338,72401402,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
970,108694551,72463684,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
980,108702627,72469040,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
990,108744534,72496972,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
1000,147411672,98275312,0,0,0.667,0.667,0.000,0.000,60.9,1800,2462,0
1010,108684228,72457085,0,0,0.667,0.667,0.000,0.000,60.9,1800,1818,0
1020,108473391,72316242,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
