Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,141285316,94193189,3,0,0.667,0.667,0.000,0.000,59.4,1800,2391,0
10,108144299,72096614,6,0,0.667,0.667,0.000,0.000,59.4,1800,1819,0
20,108572453,72381960,1,0,0.667,0.667,0.000,0.000,59.4,1800,1817,0
30,108626297,72418179,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
40,108610274,72407505,0,0,0.667,0.667,0.000,0.000,60.4,1800,1816,0
50,108289304,72191847,0,0,0.667,0.667,0.000,0.000,61.3,1800,1811,0
60,108420863,72281227,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
70,108528677,72353189,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
80,108583229,72389809,0,0,0.667,0.667,0.000,0.000,60.9,1800,1816,0
90,104352293,69569444,1,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
100,108343004,72229309,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
110,108423884,72283391,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
120,108738494,72492959,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
130,104815727,69878203,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
140,107149310,71433553,4,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
150,108266668,72170034,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
160,108113234,72076141,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
170,104635733,69758595,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
180,106091354,70729701,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
190,108621506,72414999,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
200,108697502,72465735,0,0,0.667,0.667,0.000,0.000,62.3,1800,1816,0
210,108733859,72489851,0,0,0.667,0.667,0.000,0.000,62.3,1800,1816,0
220,108685451,72457659,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
230,108729269,72486781,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
240,139062440,92709207,0,0,0.667,0.667,0.000,0.000,61.3,1800,2323,0
250,108736691,72491827,0,0,0.667,0.667,0.000,0.000,61.3,1800,1816,0
260,108543551,72363253,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
270,108734687,72490359,0,0,0.667,0.667,0.000,0.000,61.8,1800,1816,0
280,108452079,72298843,1,0,0.667,0.667,0.000,0.000,62.8,1800,1817,0
290,108740219,72493721,6,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
300,108704633,72470479,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
310,108736619,72491751,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
320,108704579,72470447,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
330,108672917,72449367,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
340,108677834,72452627,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
350,108732548,72489103,0,0,0.667,0.667,0.000,0.000,62.3,1800,1816,0
360,108704000,72469983,0,0,0.667,0.667,0.000,0.000,62.3,1800,1816,0
370,108685178,72457523,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
380,108737564,72492271,0,0,0.667,0.667,0.000,0.000,62.8,1800,1816,0
390,108703604,72469887,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
400,108738050,72492715,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
410,108704045,72470131,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
420,108740633,72494475,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
430,108705521,72471183,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
440,108743039,72496025,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
450,108703991,72470079,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
460,108746693,72498463,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
470,108675095,72450915,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
480,108738839,72493369,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
490,108708929,72473351,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
500,149535378,99690684,0,0,0.667,0.667,0.000,0.000,63.3,1800,2499,0
510,108733511,72489667,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
520,108684749,72457331,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
530,108736376,72491463,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
540,108698306,72466239,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
550,108729998,72487447,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
560,108698036,72466087,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
570,108730142,72487451,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
580,108691358,72461663,0,0,0.667,0.667,0.000,0.000,64.3,1800,1816,0
590,108731354,72488479,0,0,0.667,0.667,0.000,0.000,64.3,1800,1816,0
600,108706832,72472015,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
610,108747506,72498963,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
620,108703313,72469611,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
630,108572197,72373808,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
640,108725765,72484507,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
650,108693959,72463287,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
660,108744233,72496783,0,0,0.667,0.667,0.000,0.000,63.3,1800,1816,0
670,108596034,72397996,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
680,108735605,72491189,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
690,108700511,72467785,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
700,108584186,72390237,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
710,108678146,72452923,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
720,108734282,72490187,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
730,108704006,72470195,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
740,108739916,72493935,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
750,108742994,72496015,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
760,108660854,72441355,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
770,108700487,72467723,0,0,0.667,0.667,0.000,0.000,63.8,1800,1816,0
780,108693431,72462893,0,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
790,108743363,72496355,0,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
800,108706463,72471771,0,0,0.667,0.667,0.000,0.000,64.3,1800,1816,0
810,106369002,70613776,7282,0,0.664,0.664,0.000,0.000,64.3,1800,1819,0
820,107805327,71810832,285,0,0.666,0.666,0.000,0.000,64.3,1800,1817,0
830,108493223,72328597,6,0,0.667,0.667,0.000,0.000,64.3,1800,1817,0
840,133452762,88969066,1,0,0.667,0.667,0.000,0.000,64.3,1800,2230,0
850,108739140,72493006,1,0,0.667,0.667,0.000,0.000,64.3,1800,1816,0
860,108683646,72456154,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
870,108285038,72182710,1,0,0.667,0.667,0.000,0.000,65.2,1800,1817,0
880,108574053,72383143,0,0,0.667,0.667,0.000,0.000,64.8,1800,1816,0
890,108666930,72444791,0,0,0.667,0.667,0.000,0.000,64.8,1800,1816,0
900,108677766,72452014,1,0,0.667,0.667,0.000,0.000,64.8,1800,1816,0
910,108736947,72491562,1,0,0.667,0.667,0.000,0.000,64.3,1800,1816,0
920,108697812,72465586,1,0,0.667,0.667,0.000,0.000,64.3,1800,1816,0
930,108747522,72498578,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
940,108703800,72469630,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
950,108723561,72482550,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
960,108687417,72458554,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
970,108696837,72464798,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
980,108749433,72499986,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
990,108704922,72470270,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1000,108741171,72494290,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1010,108697131,72464640,3,0,0.667,0.667,0.000,0.000,66.2,1800,1818,0
1020,108585828,72390891,2,0,0.667,0.667,0.000,0.000,66.2,1800,1816,0
1030,108635226,72423732,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1040,108643926,72429678,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1050,108033309,72022477,2,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1060,108622746,72415230,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1070,108685374,72457550,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1080,108592746,72395554,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1090,108744318,72496358,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1100,108748206,72499026,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1110,108708033,72472346,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1120,108508793,72331397,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1130,108706989,72471610,1,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1140,108735282,72490506,1,0,0.667,0.667,0.000,0.000,64.8,1800,1816,0
1150,141670002,94447444,7,0,0.667,0.667,0.000,0.000,64.8,1800,2367,0
1160,108319461,72213240,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1170,108673293,72449268,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1180,108567705,72378701,0,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1190,107442507,71628895,0,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
1200,105638970,70426473,0,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1210,108684864,72456873,0,0,0.667,0.667,0.000,0.000,65.2,1800,1816,0
1220,108563493,72375893,0,0,0.667,0.667,0.000,0.000,66.2,1800,1816,0
1230,106974405,71316777,0,0,0.667,0.667,0.000,0.000,66.2,1800,1816,0
1240,104980911,69987881,0,0,0.667,0.667,0.000,0.000,66.7,1800,1816,0
1250,108673050,72449087,0,0,0.667,0.667,0.000,0.000,66.7,1800,1816,0
1260,108388329,72259155,0,0,0.667,0.667,0.000,0.000,66.2,1800,1816,0
1270,107392728,71595441,0,0,0.667,0.667,0.000,0.000,66.2,1800,1816,0
1280,104739003,69826499,0,0,0.667,0.667,0.000,0.000,66.2,1800,1816,0
1290,107418180,71613730,1,0,0.667,0.667,0.000,0.000,65.7,1800,1816,0
