Time_ms,INST_RET,ASE_SPEC,VFP_SPEC,STALL_BACKEND,MISD,ASE_Ratio,VFP_Ratio,Stall_Ratio,Temp_C,Kernel_Freq_MHz,Actual_Freq_MHz,Throttle_Bits
0,132889174,88593672,0,0,0.667,0.667,0.000,0.000,83.3,1800,2240,8
10,99953959,66636832,3,0,0.667,0.667,0.000,0.000,83.3,1800,1695,8
20,96662347,64442267,1,0,0.667,0.667,0.000,0.000,84.2,1800,1693,8
30,101156896,67438298,0,0,0.667,0.667,0.000,0.000,84.2,1800,1693,8
40,101057170,67371824,0,0,0.667,0.667,0.000,0.000,84.2,1800,1693,8
50,99686692,66458372,0,0,0.667,0.667,0.000,0.000,83.3,1800,1693,8
60,96466159,64311342,0,0,0.667,0.667,0.000,0.000,83.3,1800,1693,8
70,101251048,67501268,0,0,0.667,0.667,0.000,0.000,84.2,1800,1693,8
80,101310445,67540630,0,0,0.667,0.667,0.000,0.000,84.2,1800,1693,8
90,101265931,67511246,0,0,0.667,0.667,0.000,0.000,83.8,1800,1693,8
100,101314456,67543322,0,0,0.667,0.667,0.000,0.000,83.8,1800,1693,8
110,101268334,67512726,0,0,0.667,0.667,0.000,0.000,82.8,1800,1693,8
120,101321551,67547998,0,0,0.667,0.667,0.000,0.000,82.8,1800,1693,8
130,101240686,67494262,0,0,0.667,0.667,0.000,0.000,82.8,1800,1693,8
140,101317945,67545718,0,0,0.667,0.667,0.000,0.000,82.8,1800,1693,8
150,101885920,67924391,0,0,0.667,0.667,0.000,0.000,83.8,1800,1712,8
160,104195410,69464402,0,0,0.667,0.667,0.000,0.000,83.8,1800,1742,8
170,104275669,69517598,0,0,0.667,0.667,0.000,0.000,83.8,1800,1742,8
180,104072896,69382170,0,0,0.667,0.667,0.000,0.000,83.8,1800,1742,8
190,104032941,69347293,0,0,0.667,0.667,0.000,0.000,83.8,1800,1742,8
200,104238079,69492410,0,0,0.667,0.667,0.000,0.000,84.7,1800,1742,8
210,104266855,69511602,0,0,0.667,0.667,0.000,0.000,84.7,1800,1742,8
220,104159686,69440434,0,0,0.667,0.667,0.000,0.000,83.3,1800,1742,8
230,104264953,69510422,0,0,0.667,0.667,0.000,0.000,83.3,1800,1742,8
240,104236291,69491450,0,0,0.667,0.667,0.000,0.000,83.3,1800,1742,8
250,103176976,68785058,0,0,0.667,0.667,0.000,0.000,83.3,1800,1724,8
260,122785846,81857838,0,0,0.667,0.667,0.000,0.000,84.2,1800,2052,8
270,101320444,67547358,0,0,0.667,0.667,0.000,0.000,84.2,1800,1693,8
280,101265574,67510950,0,0,0.667,0.667,0.000,0.000,83.3,1800,1693,8
290,101320300,67547186,0,0,0.667,0.667,0.000,0.000,83.3,1800,1693,8
300,101286400,67524626,0,0,0.667,0.667,0.000,0.000,83.8,1800,1693,8
310,101325394,67550754,0,0,0.667,0.667,0.000,0.000,83.8,1800,1693,8
