timestamp,elapsed_s,arm,tps,tokens_predicted_total,temp_c,violation_flag,kernel_freq_mhz,throttle_bits
1773996240.562,0.000,B3,0.0000,0,69.1,0,1800,0
1773996241.562,1.000,B3,0.0000,0,70.1,0,1800,0
1773996242.562,2.001,B3,0.0000,0,71.1,0,1800,0
1773996243.562,3.001,B3,0.0000,0,72.5,0,1800,0
1773996244.563,4.001,B3,0.0000,0,73.5,0,1800,0
1773996245.563,5.001,B3,0.0000,0,73.0,0,1200,0
1773996246.563,6.001,B3,0.0000,0,75.0,0,1800,0
1773996247.564,7.003,B3,0.0000,0,76.0,0,1800,0
1773996248.564,8.003,B3,0.0000,0,74.0,0,1200,0
1773996249.566,9.005,B3,0.0000,0,75.5,0,1200,0
1773996250.567,10.005,B3,0.0000,0,75.0,0,1200,0
1773996251.567,11.005,B3,0.0000,0,76.4,0,1200,0
1773996252.567,12.005,B3,0.0000,0,75.0,0,1200,0
1773996253.567,13.006,B3,0.0000,0,75.5,0,1200,0
1773996254.567,14.006,B3,0.0000,0,75.0,0,1200,0
1773996255.568,15.007,B3,0.0000,0,75.5,0,1200,0
1773996256.572,16.011,B3,0.0000,0,74.5,0,1200,0
1773996257.572,17.011,B3,0.0000,0,74.0,0,1200,0
1773996258.576,18.015,B3,0.0000,0,76.0,0,1200,0
1773996259.580,19.019,B3,0.0000,0,75.0,0,1800,0
1773996260.580,20.019,B3,0.0000,0,74.5,0,1200,0
1773996261.581,21.019,B3,0.0000,0,75.5,0,1800,0
1773996262.581,22.019,B3,0.0000,0,75.5,0,1200,0
1773996263.584,23.023,B3,0.0000,0,74.0,0,1800,0
1773996264.588,24.027,B3,0.0000,0,75.5,0,1800,0
1773996265.592,25.031,B3,0.0000,0,76.4,0,1200,0
1773996266.596,26.035,B3,0.0000,0,75.5,0,1200,0
1773996267.600,27.039,B3,0.0000,0,74.5,0,1800,0
1773996268.600,28.039,B3,0.0000,0,76.0,0,1200,0
1773996269.601,29.039,B3,0.0000,0,75.0,0,1200,0
1773996270.604,30.043,B3,143.7216,150,75.0,0,1200,0
1773996271.608,31.047,B3,0.0000,150,75.0,0,1200,0
1773996272.612,32.051,B3,0.0000,150,76.0,0,1200,0
1773996273.616,33.055,B3,0.0000,150,76.0,0,1200,0
1773996274.616,34.055,B3,0.0000,150,76.0,0,1200,0
1773996275.620,35.059,B3,0.0000,150,74.5,0,1200,0
1773996276.624,36.063,B3,0.0000,150,75.5,0,1200,0
1773996277.628,37.067,B3,0.0000,150,76.4,0,1200,0
1773996278.632,38.071,B3,0.0000,150,75.5,0,1200,0
1773996279.636,39.075,B3,0.0000,150,74.5,0,1200,0
1773996280.636,40.075,B3,0.0000,150,76.4,0,1200,0
1773996281.640,41.079,B3,0.0000,150,76.9,0,1800,0
1773996282.640,42.079,B3,0.0000,150,76.0,0,1200,0
1773996283.644,43.083,B3,0.0000,150,76.4,0,1200,0
1773996284.647,44.086,B3,0.0000,150,75.0,0,1200,0
